peca,pagina,pct_diferente,pixels_diferentes,pixels_totais
Chopin_Etude_Op10_No9,1,0.7385,46062,6237000
Chopin_Etude_Op10_No9,2,0.5560,34678,6237000
Chopin_Etude_Op10_No9,3,0.3776,23548,6237000
Chopin_Etude_Op10_No9,4,0.1101,6864,6237000
Chopin_Mazurka_Op6_No1,1,0.5561,34687,6237000
Chopin_Mazurka_Op6_No1,2,0.1662,10365,6237000
Chopin_Mazurka_Op6_No1,3,0.0802,5001,6237000
Grieg_Butterfly_Op43_No1,1,0.2098,13087,6237000
Grieg_Butterfly_Op43_No1,2,0.0897,5594,6237000
Grieg_Butterfly_Op43_No1,3,0.0481,2999,6237000
Grieg_Little_bird_Op43_No4,1,0.1823,11373,6237000
Grieg_Little_bird_Op43_No4,2,0.0540,3366,6237000
Scarlatti_Sonata_in_C-major,1,0.1322,8247,6237000
Scarlatti_Sonata_in_C-major,2,0.0933,5822,6237000
Scarlatti_Sonata_in_C-major,3,0.0487,3039,6237000
Chopin_-_Nocturne_Op._9_No._1,1,0.6295,39264,6237000
Chopin_-_Nocturne_Op._9_No._1,2,0.5416,33777,6237000
Chopin_-_Nocturne_Op._9_No._1,3,0.7498,46767,6237000
Chopin_-_Nocturne_Op._9_No._1,4,0.7636,47624,6237000
Chopin_-_Nocturne_Op._9_No._1,5,0.5782,36063,6237000
Chopin_-_Nocturne_Op._9_No._1,6,0.5780,36051,6237000
Chopin_-_Nocturne_Op._9_No._1,7,0.2090,13038,6237000
Clair_de_Lune__Debussy,1,1.1582,72238,6237000
Clair_de_Lune__Debussy,2,0.6520,40667,6237000
Clair_de_Lune__Debussy,3,0.3866,24113,6237000
Clair_de_Lune__Debussy,4,0.5215,32523,6237000
Clair_de_Lune__Debussy,5,0.2678,16700,6237000
Erik_Satie_-_Gymnopedie_No.1,1,0.4084,25472,6237000
Erik_Satie_-_Gymnopedie_No.1,2,0.0473,2948,6237000
Maple_Leaf_Rag_Scott_Joplin,1,0.3722,23217,6237000
Maple_Leaf_Rag_Scott_Joplin,2,0.2657,16573,6237000
Maple_Leaf_Rag_Scott_Joplin,3,0.1228,7662,6237000
Prelude_I_in_C_major_BWV_846_-_Well_Tempered_Clavier_First_Book,1,0.3686,22988,6237000
Prelude_I_in_C_major_BWV_846_-_Well_Tempered_Clavier_First_Book,2,0.1450,9043,6237000
