combinacao,tamanho,orientacao,cabecalho,rodape,largura_px,altura_px,paginas,pct_diferente_p1,pixels_diferentes_p1,pixels_totais_p1,tamanho_lottie_bytes
a4-portrait-header-footer,a4,portrait,header,footer,2100,2970,4,0.4520,28192,6237000,1043632
a4-portrait-header-no-footer,a4,portrait,header,no-footer,2100,2970,4,0.4443,27710,6237000,1006886
a4-portrait-no-header-footer,a4,portrait,no-header,footer,2100,2970,4,0.4550,28381,6237000,1042768
a4-portrait-no-header-no-footer,a4,portrait,no-header,no-footer,2100,2970,4,0.4473,27899,6237000,1006099
a4-landscape-header-footer,a4,landscape,header,footer,2970,2100,4,0.4231,26388,6237000,1034755
a4-landscape-header-no-footer,a4,landscape,header,no-footer,2970,2100,4,0.4153,25905,6237000,998323
a4-landscape-no-header-footer,a4,landscape,no-header,footer,2970,2100,4,0.4181,26079,6237000,1033867
a4-landscape-no-header-no-footer,a4,landscape,no-header,no-footer,2970,2100,4,0.4104,25596,6237000,997393
tela-portrait-header-footer,tela,portrait,header,footer,1080,1920,11,0.3970,8233,2073600,1144722
tela-portrait-header-no-footer,tela,portrait,header,no-footer,1080,1920,11,0.3737,7750,2073600,1044151
tela-portrait-no-header-footer,tela,portrait,no-header,footer,1080,1920,11,0.3968,8228,2073600,1142759
tela-portrait-no-header-no-footer,tela,portrait,no-header,no-footer,1080,1920,11,0.3735,7745,2073600,1041977
tela-landscape-header-footer,tela,landscape,header,footer,1920,1080,16,0.2965,6149,2073600,1158563
tela-landscape-header-no-footer,tela,landscape,header,no-footer,1920,1080,14,0.2733,5667,2073600,1012868
tela-landscape-no-header-footer,tela,landscape,no-header,footer,1920,1080,16,0.2925,6065,2073600,1155723
tela-landscape-no-header-no-footer,tela,landscape,no-header,no-footer,1920,1080,12,0.2692,5583,2073600,1009751
